Month,Indicator,Value,Direction
2020-12,Air passengers,-43.7,red
2020-12,Exports,0.4,neutral
2020-12,Unemployment in urban areas,0,neutral
2020-12,Youth unemployment in urban areas,0,neutral
2020-12,Female labour force participation in urban areas,0,neutral
2020-12,Wholesale inflation,2,green
2020-12,Imports,8.4,green
2020-12,GST,11.6,green
2020-12,Aggregate deposits,10.8,green
2020-12,Credit card payments,0,neutral
2020-12,Non-food credit,6.6,green
2020-12,Three-wheeler registrations,-28.2,red
2020-12,Tractor sales,38.8,green
2020-12,Four-wheeler sales,34.3,green
2020-12,PMI Services,52.3,green
2020-12,PMI Composite,54.9,green
2020-12,Natural gas consumption,3.7,green
2020-12,Two-wheeler sales,13.8,green
2020-12,Electricity demand,4.3,green
2020-12,Petrol consumption,9.4,green
2020-12,Naukri Job Speak Index,-10.2,red
2020-12,E-way bill generation,15.9,green
2020-12,ATF consumption,-41.5,red
2020-12,Diesel consumption,-2.6,red
2020-12,Rail Freight Traffic,8.7,green
2020-12,Credit and debit card payments,-15.1,red
2020-12,Air cargo,-11.5,red
2020-12,Consumer Durables production,6.5,green
2020-12,IIP,2.2,green
2020-12,Consumer Non-durables production,1.9,neutral
2021-01,MCEP,43.4,green
2021-01,Core sector output,1.3,neutral
2021-01,Retail inflation,4.1,green
2021-01,Major Port Cargo Traffic,4.1,green
2021-01,MGNREGA work demanded by persons,37.7,green
2021-01,UPI volume,76.5,green
2021-01,PMI Manufacturing,57.7,green
2021-01,Air passengers,-39.6,red
2021-01,Exports,6.5,green
2021-01,Unemployment in urban areas,0,neutral
2021-01,Youth unemployment in urban areas,0,neutral
2021-01,Female labour force participation in urban areas,0,neutral
2021-01,Wholesale inflation,2.5,green
2021-01,Imports,2.1,green
2021-01,GST,8.2,green
2021-01,Aggregate deposits,11.1,green
2021-01,Credit card payments,0,neutral
2021-01,Non-food credit,5.9,green
2021-01,Three-wheeler registrations,-31.7,red
2021-01,Tractor sales,15.3,green
2021-01,Four-wheeler sales,3,green
2021-01,PMI Services,52.8,green
2021-01,PMI Composite,55.8,green
2021-01,Natural gas consumption,-1.1,neutral
2021-01,Two-wheeler sales,-5.3,red
2021-01,Electricity demand,3.7,green
2021-01,Petrol consumption,6.3,green
2021-01,Naukri Job Speak Index,-19.2,red
2021-01,E-way bill generation,10.5,green
2021-01,ATF consumption,-40.3,red
2021-01,Diesel consumption,-2.2,red
2021-01,Rail Freight Traffic,8.7,green
2021-01,Credit and debit card payments,-16.5,red
2021-01,Air cargo,-19.3,red
2021-01,Consumer Durables production,-0.1,red
2021-01,IIP,-0.6,red
2021-01,Consumer Non-durables production,-5.4,red
2021-02,MCEP,41.9,green
2021-02,Core sector output,-3.3,red
2021-02,Retail inflation,5,green
2021-02,Major Port Cargo Traffic,2.1,green
2021-02,MGNREGA work demanded by persons,30.2,green
2021-02,UPI volume,73,green
2021-02,PMI Manufacturing,57.5,green
2021-02,Air passengers,-36.8,red
2021-02,Exports,-0.4,red
2021-02,Unemployment in urban areas,0,neutral
2021-02,Youth unemployment in urban areas,0,neutral
2021-02,Female labour force participation in urban areas,0,neutral
2021-02,Wholesale inflation,4.8,green
2021-02,Imports,7.5,green
2021-02,GST,7.4,green
2021-02,Aggregate deposits,12.1,green
2021-02,Credit card payments,0,neutral
2021-02,Non-food credit,6.6,green
2021-02,Three-wheeler registrations,-40.5,red
2021-02,Tractor sales,27.6,green
2021-02,Four-wheeler sales,17.8,green
2021-02,PMI Services,55.3,green
2021-02,PMI Composite,57.3,green
2021-02,Natural gas consumption,-17.5,red
2021-02,Two-wheeler sales,-15.1,red
2021-02,Electricity demand,-1.2,neutral
2021-02,Petrol consumption,-1.5,neutral
2021-02,Naukri Job Speak Index,-2.4,red
2021-02,E-way bill generation,11.6,green
2021-02,ATF consumption,-37.3,red
2021-02,Diesel consumption,-8.3,red
2021-02,Rail Freight Traffic,5.5,green
2021-02,Credit and debit card payments,-17.4,red
2021-02,Air cargo,-14.3,red
2021-02,Consumer Durables production,6.6,green
2021-02,IIP,-3.2,red
2021-02,Consumer Non-durables production,-3.8,red
2021-03,MCEP,59.9,green
2021-03,Core sector output,12.6,green
2021-03,Retail inflation,5.5,green
2021-03,Major Port Cargo Traffic,12.9,green
2021-03,MGNREGA work demanded by persons,29.8,green
2021-03,UPI volume,119.1,green
2021-03,PMI Manufacturing,55.4,green
2021-03,Air passengers,0.7,neutral
2021-03,Exports,64.1,green
2021-03,Unemployment in urban areas,0,neutral
2021-03,Youth unemployment in urban areas,0,neutral
2021-03,Female labour force participation in urban areas,0,neutral
2021-03,Wholesale inflation,7.9,green
2021-03,Imports,55.4,green
2021-03,GST,27,green
2021-03,Aggregate deposits,11.4,green
2021-03,Credit card payments,0,neutral
2021-03,Non-food credit,5.5,green
2021-03,Three-wheeler registrations,-55.1,red
2021-03,Tractor sales,45.8,green
2021-03,Four-wheeler sales,38.6,green
2021-03,PMI Services,54.6,green
2021-03,PMI Composite,56,green
2021-03,Natural gas consumption,3.3,green
2021-03,Two-wheeler sales,-34.3,red
2021-03,Electricity demand,20.6,green
2021-03,Petrol consumption,27.1,green
2021-03,Naukri Job Speak Index,24.7,green
2021-03,E-way bill generation,75.2,green
2021-03,ATF consumption,-1.9,neutral
2021-03,Diesel consumption,27.6,green
2021-03,Rail Freight Traffic,26.6,green
2021-03,Credit and debit card payments,7.7,green
2021-03,Air cargo,30.4,green
2021-03,Consumer Durables production,59.9,green
2021-03,IIP,24.2,green
2021-03,Consumer Non-durables production,29.2,green
2021-04,MCEP,80.1,green
2021-04,Core sector output,62.6,green
2021-04,Retail inflation,4.2,green
2021-04,Major Port Cargo Traffic,29.5,green
2021-04,MGNREGA work demanded by persons,89.2,green
2021-04,UPI volume,164.2,green
2021-04,PMI Manufacturing,55.5,green
2021-04,Exports,202.3,green
2021-04,Unemployment in urban areas,0,neutral
2021-04,Youth unemployment in urban areas,0,neutral
2021-04,Female labour force participation in urban areas,0,neutral
2021-04,Wholesale inflation,10.7,green
2021-04,Imports,169.5,green
2021-04,GST,334.3,green
2021-04,Aggregate deposits,11.2,green
2021-04,Credit card payments,0,neutral
2021-04,Non-food credit,5.7,green
2021-04,Three-wheeler registrations,40.6,green
2021-04,Tractor sales,560.5,green
2021-04,Four-wheeler sales,847,green
2021-04,PMI Services,54,green
2021-04,PMI Composite,55.4,green
2021-04,Natural gas consumption,48.6,green
2021-04,Two-wheeler sales,132.5,green
2021-04,Electricity demand,38.2,green
2021-04,Petrol consumption,145.2,green
2021-04,Naukri Job Speak Index,117.9,green
2021-04,E-way bill generation,582.5,green
2021-04,ATF consumption,646.2,green
2021-04,Diesel consumption,105.3,green
2021-04,Rail Freight Traffic,70.7,green
2021-04,Credit and debit card payments,69.7,green
2021-04,Air cargo,"1,390.8",green
2021-04,Consumer Durables production,"1,778.2",green
2021-04,IIP,133.5,green
2021-04,Consumer Non-durables production,92.6,green
2021-05,MCEP,71.1,green
2021-05,Core sector output,16.4,green
2021-05,Retail inflation,6.3,green
2021-05,Major Port Cargo Traffic,31.5,green
2021-05,MGNREGA work demanded by persons,-27.9,red
2021-05,UPI volume,105.7,green
2021-05,PMI Manufacturing,50.8,green
2021-05,Air passengers,631.8,green
2021-05,Exports,67.8,green
2021-05,Unemployment in urban areas,0,neutral
2021-05,Youth unemployment in urban areas,0,neutral
2021-05,Female labour force participation in urban areas,0,neutral
2021-05,Wholesale inflation,13.1,green
2021-05,Imports,69.9,green
2021-05,GST,57.4,green
2021-05,Aggregate deposits,9.5,green
2021-05,Credit card payments,0,neutral
2021-05,Non-food credit,5.9,green
2021-05,Three-wheeler registrations,243.7,green
2021-05,Tractor sales,64.1,green
2021-05,Four-wheeler sales,183.4,green
2021-05,PMI Services,46.4,green
2021-05,PMI Composite,48.1,green
2021-05,Natural gas consumption,5.6,green
2021-05,Two-wheeler sales,140.7,green
2021-05,Electricity demand,6.3,green
2021-05,Petrol consumption,12.5,green
2021-05,Naukri Job Speak Index,124.9,green
2021-05,E-way bill generation,56.8,green
2021-05,ATF consumption,143.4,green
2021-05,Diesel consumption,0.7,neutral
2021-05,Rail Freight Traffic,39.1,green
2021-05,Credit and debit card payments,5.8,green
2021-05,Air cargo,210.2,green
2021-05,Consumer Durables production,80.4,green
2021-05,IIP,27.6,green
2021-05,Consumer Non-durables production,0.2,neutral
2021-06,MCEP,60.9,green
2021-06,Core sector output,9.4,green
2021-06,Retail inflation,6.3,green
2021-06,Major Port Cargo Traffic,19.5,green
2021-06,MGNREGA work demanded by persons,-24.1,red
2021-06,UPI volume,110,green
2021-06,PMI Manufacturing,48.1,green
2021-06,Air passengers,53,green
2021-06,Exports,47.5,green
2021-06,Unemployment in urban areas,0,neutral
2021-06,Youth unemployment in urban areas,0,neutral
2021-06,Female labour force participation in urban areas,0,neutral
2021-06,Wholesale inflation,12.1,green
2021-06,Imports,97.4,green
2021-06,GST,2.1,green
2021-06,Aggregate deposits,9.8,green
2021-06,Credit card payments,0,neutral
2021-06,Non-food credit,6.8,green
2021-06,Three-wheeler registrations,56.4,green
2021-06,Tractor sales,18,green
2021-06,Four-wheeler sales,50,green
2021-06,PMI Services,41.2,green
2021-06,PMI Composite,43.1,green
2021-06,Natural gas consumption,6.5,green
2021-06,Two-wheeler sales,19.4,green
2021-06,Electricity demand,8.8,green
2021-06,Petrol consumption,5.6,green
2021-06,Naukri Job Speak Index,95.3,green
2021-06,E-way bill generation,25.9,green
2021-06,ATF consumption,16,green
2021-06,Diesel consumption,-1.6,neutral
2021-06,Rail Freight Traffic,20.5,green
2021-06,Credit and debit card payments,5.7,green
2021-06,Air cargo,28.7,green
2021-06,Consumer Durables production,28,green
2021-06,IIP,13.8,green
2021-06,Consumer Non-durables production,-3.9,red
2021-07,MCEP,63.2,green
2021-07,Core sector output,9.9,green
2021-07,Retail inflation,5.6,green
2021-07,Major Port Cargo Traffic,6.7,green
2021-07,MGNREGA work demanded by persons,-2.9,red
2021-07,UPI volume,116.9,green
2021-07,PMI Manufacturing,55.3,green
2021-07,Air passengers,132.9,green
2021-07,Exports,49.3,green
2021-07,Unemployment in urban areas,0,neutral
2021-07,Youth unemployment in urban areas,0,neutral
2021-07,Female labour force participation in urban areas,0,neutral
2021-07,Wholesale inflation,11.6,green
2021-07,Imports,58.5,green
2021-07,GST,33.1,green
2021-07,Aggregate deposits,9.8,green
2021-07,Credit card payments,0,neutral
2021-07,Non-food credit,6.2,green
2021-07,Three-wheeler registrations,104.9,green
2021-07,Tractor sales,8.2,green
2021-07,Four-wheeler sales,64.3,green
2021-07,PMI Services,45.4,green
2021-07,PMI Composite,49.2,green
2021-07,Natural gas consumption,0.2,neutral
2021-07,Two-wheeler sales,27.9,green
2021-07,Electricity demand,10.5,green
2021-07,Petrol consumption,16.3,green
2021-07,Naukri Job Speak Index,107.8,green
2021-07,E-way bill generation,32.7,green
2021-07,ATF consumption,35.3,green
2021-07,Diesel consumption,11.4,green
2021-07,Rail Freight Traffic,18.4,green
2021-07,Credit and debit card payments,16.6,green
2021-07,Air cargo,45.7,green
2021-07,Consumer Durables production,19.4,green
2021-07,IIP,11.5,green
2021-07,Consumer Non-durables production,-2.3,red
2021-08,MCEP,64.7,green
2021-08,Core sector output,12.2,green
2021-08,Retail inflation,5.3,green
2021-08,Major Port Cargo Traffic,11.4,green
2021-08,MGNREGA work demanded by persons,0.6,neutral
2021-08,UPI volume,119.6,green
2021-08,PMI Manufacturing,52.3,green
2021-08,Air passengers,131.6,green
2021-08,Exports,46.2,green
2021-08,Unemployment in urban areas,0,neutral
2021-08,Youth unemployment in urban areas,0,neutral
2021-08,Female labour force participation in urban areas,0,neutral
2021-08,Wholesale inflation,11.6,green
2021-08,Imports,45.3,green
2021-08,GST,29.6,green
2021-08,Aggregate deposits,9.5,green
2021-08,Credit card payments,0,neutral
2021-08,Non-food credit,6.7,green
2021-08,Three-wheeler registrations,59.7,green
2021-08,Tractor sales,6.1,green
2021-08,Four-wheeler sales,39,green
2021-08,PMI Services,56.7,green
2021-08,PMI Composite,55.4,green
2021-08,Natural gas consumption,10.4,green
2021-08,Two-wheeler sales,4.4,green
2021-08,Electricity demand,17.4,green
2021-08,Petrol consumption,13,green
2021-08,Naukri Job Speak Index,89.2,green
2021-08,E-way bill generation,33.3,green
2021-08,ATF consumption,48,green
2021-08,Diesel consumption,15.7,green
2021-08,Rail Freight Traffic,16.9,green
2021-08,Credit and debit card payments,14.1,green
2021-08,Air cargo,46.3,green
2021-08,Consumer Durables production,11.1,green
2021-08,IIP,13,green
2021-08,Consumer Non-durables production,5.9,green
2021-09,MCEP,55.4,green
2021-09,Core sector output,5.4,green
2021-09,Retail inflation,4.3,green
2021-09,Major Port Cargo Traffic,0.1,neutral
2021-09,MGNREGA work demanded by persons,-3.2,red
2021-09,UPI volume,103,green
2021-09,PMI Manufacturing,53.7,green
2021-09,Air passengers,74.9,green
2021-09,Exports,22.7,green
2021-09,Unemployment in urban areas,0,neutral
2021-09,Youth unemployment in urban areas,0,neutral
2021-09,Female labour force participation in urban areas,0,neutral
2021-09,Wholesale inflation,11.8,green
2021-09,Imports,84.4,green
2021-09,GST,22.5,green
2021-09,Aggregate deposits,9.4,green
2021-09,Credit card payments,0,neutral
2021-09,Non-food credit,6.8,green
2021-09,Three-wheeler registrations,20.9,green
2021-09,Tractor sales,-21.2,red
2021-09,Four-wheeler sales,17,green
2021-09,PMI Services,55.2,green
2021-09,PMI Composite,55.3,green
2021-09,Natural gas consumption,9.2,green
2021-09,Two-wheeler sales,-12.4,red
2021-09,Electricity demand,0.4,neutral
2021-09,Petrol consumption,6,green
2021-09,Naukri Job Speak Index,56.9,green
2021-09,E-way bill generation,18.3,green
2021-09,ATF consumption,30.6,green
2021-09,Diesel consumption,0.5,neutral
2021-09,Rail Freight Traffic,3.6,green
2021-09,Credit and debit card payments,6.9,green
2021-09,Air cargo,19.9,green
2021-09,Consumer Durables production,1.6,neutral
2021-09,IIP,4.4,green
2021-09,Consumer Non-durables production,-0.1,red
2021-10,MCEP,57.3,green
2021-10,Core sector output,8.7,green
2021-10,Retail inflation,4.5,green
2021-10,Major Port Cargo Traffic,6.5,green
2021-10,MGNREGA work demanded by persons,-17.3,red
2021-10,UPI volume,103.6,green
2021-10,PMI Manufacturing,55.9,green
2021-10,Air passengers,66.7,green
2021-10,Exports,43.4,green
2021-10,Unemployment in urban areas,0,neutral
2021-10,Youth unemployment in urban areas,0,neutral
2021-10,Female labour force participation in urban areas,0,neutral
2021-10,Wholesale inflation,13.8,green
2021-10,Imports,57.4,green
2021-10,GST,23.7,green
2021-10,Aggregate deposits,10,green
2021-10,Credit card payments,0,neutral
2021-10,Non-food credit,6.9,green
2021-10,Three-wheeler registrations,23.1,green
2021-10,Tractor sales,-19.6,red
2021-10,Four-wheeler sales,-10.7,red
2021-10,PMI Services,58.4,green
2021-10,PMI Composite,58.7,green
2021-10,Natural gas consumption,-4.2,red
2021-10,Two-wheeler sales,-7.7,red
2021-10,Electricity demand,4.3,green
2021-10,Petrol consumption,3.6,green
2021-10,Naukri Job Speak Index,43.4,green
2021-10,E-way bill generation,14.5,green
2021-10,ATF consumption,33.1,green
2021-10,Diesel consumption,-5.5,red
2021-10,Rail Freight Traffic,8.4,green
2021-10,Credit and debit card payments,6.3,green
2021-10,Air cargo,13.1,green
2021-10,Consumer Durables production,-3.2,red
2021-10,IIP,4.2,green
2021-10,Consumer Non-durables production,0.7,neutral
2021-11,MCEP,54.8,green
2021-11,Core sector output,3.2,green
2021-11,Retail inflation,4.9,green
2021-11,Major Port Cargo Traffic,-0.2,red
2021-11,MGNREGA work demanded by persons,-11.8,red
2021-11,UPI volume,89.4,green
2021-11,PMI Manufacturing,57.6,green
2021-11,Air passengers,65.1,green
2021-11,Exports,34.6,green
2021-11,Unemployment in urban areas,0,neutral
2021-11,Youth unemployment in urban areas,0,neutral
2021-11,Female labour force participation in urban areas,0,neutral
2021-11,Wholesale inflation,14.9,green
2021-11,Imports,56.8,green
2021-11,GST,25.3,green
2021-11,Aggregate deposits,8.9,green
2021-11,Credit card payments,12.1,green
2021-11,Non-food credit,7.1,green
2021-11,Three-wheeler registrations,10.7,green
2021-11,Tractor sales,-9.4,red
2021-11,Four-wheeler sales,-19.5,red
2021-11,PMI Services,58.1,green
2021-11,PMI Composite,59.2,green
2021-11,Natural gas consumption,5.2,green
2021-11,Two-wheeler sales,-2.4,red
2021-11,Electricity demand,2.2,green
2021-11,Petrol consumption,-0.8,red
2021-11,Naukri Job Speak Index,25.8,green
2021-11,E-way bill generation,5.9,green
2021-11,ATF consumption,34.1,green
2021-11,Diesel consumption,-7.6,red
2021-11,Rail Freight Traffic,6.1,green
2021-11,Credit and debit card payments,-0.2,red
2021-11,Air cargo,6.2,green
2021-11,Consumer Durables production,-5.7,red
2021-11,IIP,1,neutral
2021-11,Consumer Non-durables production,-0.8,red
2021-12,MCEP,55,green
2021-12,Core sector output,4.1,green
2021-12,Retail inflation,5.7,green
2021-12,Major Port Cargo Traffic,-0.4,red
2021-12,MGNREGA work demanded by persons,-13.7,red
2021-12,UPI volume,104.4,green
2021-12,PMI Manufacturing,55.5,green
2021-12,Air passengers,52.7,green
2021-12,Exports,44.3,green
2021-12,Unemployment in urban areas,0,neutral
2021-12,Youth unemployment in urban areas,0,neutral
2021-12,Female labour force participation in urban areas,0,neutral
2021-12,Wholesale inflation,14.3,green
2021-12,Imports,40.5,green
2021-12,GST,12.7,green
2021-12,Aggregate deposits,12.1,green
2021-12,Credit card payments,15.5,green
2021-12,Non-food credit,8.3,green
2021-12,Three-wheeler registrations,8.6,green
2021-12,Tractor sales,-6.4,red
2021-12,Four-wheeler sales,-12.8,red
2021-12,PMI Services,55.5,green
2021-12,PMI Composite,56.4,green
2021-12,Natural gas consumption,4.3,green
2021-12,Two-wheeler sales,-20.2,red
2021-12,Electricity demand,3.2,green
2021-12,Petrol consumption,4.1,green
2021-12,Naukri Job Speak Index,40.5,green
2021-12,E-way bill generation,11.6,green
2021-12,ATF consumption,29.4,green
2021-12,Diesel consumption,1.5,neutral
2021-12,Rail Freight Traffic,7.2,green
2021-12,Credit and debit card payments,2,green
2021-12,Air cargo,10.6,green
2021-12,Consumer Durables production,-1.9,neutral
2021-12,IIP,1,neutral
2021-12,Consumer Non-durables production,0.3,neutral
2022-01,MCEP,50.1,green
2022-01,Core sector output,4,green
2022-01,Retail inflation,6,green
2022-01,Major Port Cargo Traffic,-2.9,red
2022-01,MGNREGA work demanded by persons,-13.2,red
2022-01,UPI volume,100.5,green
2022-01,PMI Manufacturing,54,green
2022-01,Air passengers,-16.8,red
2022-01,Exports,27.9,green
2022-01,Unemployment in urban areas,0,neutral
2022-01,Youth unemployment in urban areas,0,neutral
2022-01,Female labour force participation in urban areas,0,neutral
2022-01,Wholesale inflation,13.7,green
2022-01,Imports,25.1,green
2022-01,GST,17.6,green
2022-01,Aggregate deposits,8.3,green
2022-01,Credit card payments,18.7,green
2022-01,Non-food credit,7.3,green
2022-01,Three-wheeler registrations,-3.7,red
2022-01,Tractor sales,-7,red
2022-01,Four-wheeler sales,-10.7,red
2022-01,PMI Services,51.5,green
2022-01,PMI Composite,53,green
2022-01,Natural gas consumption,-6,red
2022-01,Two-wheeler sales,-15.3,red
2022-01,Electricity demand,1.6,neutral
2022-01,Petrol consumption,-5.3,red
2022-01,Naukri Job Speak Index,41.1,green
2022-01,E-way bill generation,9.5,green
2022-01,ATF consumption,3.4,green
2022-01,Diesel consumption,-6.5,red
2022-01,Rail Freight Traffic,7.7,green
2022-01,Credit and debit card payments,-5.4,red
2022-01,Air cargo,2.3,green
2022-01,Consumer Durables production,-4.4,red
2022-01,IIP,2,green
2022-01,Consumer Non-durables production,3.1,green
2022-02,MCEP,53.1,green
2022-02,Core sector output,5.9,green
2022-02,Retail inflation,6.1,green
2022-02,Major Port Cargo Traffic,-0.6,red
2022-02,MGNREGA work demanded by persons,-19.9,red
2022-02,UPI volume,97.5,green
2022-02,PMI Manufacturing,54.9,green
2022-02,Air passengers,-1.3,neutral
2022-02,Exports,34.5,green
2022-02,Unemployment in urban areas,0,neutral
2022-02,Youth unemployment in urban areas,0,neutral
2022-02,Female labour force participation in urban areas,0,neutral
2022-02,Wholesale inflation,13.4,green
2022-02,Imports,37.2,green
2022-02,GST,17.6,green
2022-02,Aggregate deposits,8.6,green
2022-02,Credit card payments,22.3,green
2022-02,Non-food credit,8.2,green
2022-02,Three-wheeler registrations,0.3,neutral
2022-02,Tractor sales,-14.8,red
2022-02,Four-wheeler sales,-7.3,red
2022-02,PMI Services,51.8,green
2022-02,PMI Composite,53.5,green
2022-02,Natural gas consumption,-5,red
2022-02,Two-wheeler sales,-10.6,red
2022-02,Electricity demand,4.4,green
2022-02,Petrol consumption,3.1,green
2022-02,Naukri Job Speak Index,30.5,green
2022-02,E-way bill generation,8.3,green
2022-02,ATF consumption,0.7,neutral
2022-02,Diesel consumption,-0.9,red
2022-02,Rail Freight Traffic,6.6,green
2022-02,Credit and debit card payments,-4.3,red
2022-02,Air cargo,-2.2,red
2022-02,Consumer Durables production,-9.7,red
2022-02,IIP,1.2,neutral
2022-02,Consumer Non-durables production,-6.8,red
2022-03,MCEP,54.5,green
2022-03,Core sector output,4.8,green
2022-03,Retail inflation,7,green
2022-03,Major Port Cargo Traffic,1.6,neutral
2022-03,MGNREGA work demanded by persons,-12,red
2022-03,UPI volume,97.9,green
2022-03,PMI Manufacturing,54,green
2022-03,Air passengers,36.4,green
2022-03,Exports,26.4,green
2022-03,Unemployment in urban areas,0,neutral
2022-03,Youth unemployment in urban areas,0,neutral
2022-03,Female labour force participation in urban areas,0,neutral
2022-03,Wholesale inflation,14.6,green
2022-03,Imports,29,green
2022-03,GST,14.7,green
2022-03,Aggregate deposits,8.9,green
2022-03,Credit card payments,25.9,green
2022-03,Non-food credit,8.7,green
2022-03,Three-wheeler registrations,-0.2,red
2022-03,Tractor sales,-4.7,red
2022-03,Four-wheeler sales,-6.5,red
2022-03,PMI Services,53.6,green
2022-03,PMI Composite,54.3,green
2022-03,Natural gas consumption,0.9,neutral
2022-03,Two-wheeler sales,-4.7,red
2022-03,Electricity demand,6.6,green
2022-03,Petrol consumption,6.1,green
2022-03,Naukri Job Speak Index,16.3,green
2022-03,E-way bill generation,9.7,green
2022-03,ATF consumption,14.6,green
2022-03,Diesel consumption,6.6,green
2022-03,Rail Freight Traffic,6.7,green
2022-03,Credit and debit card payments,-2.4,red
2022-03,Air cargo,3.5,green
2022-03,Consumer Durables production,-3.1,red
2022-03,IIP,2.2,green
2022-03,Consumer Non-durables production,-4.4,red
2022-04,MCEP,63,green
2022-04,Core sector output,9.5,green
2022-04,Retail inflation,7.8,green
2022-04,Major Port Cargo Traffic,5.6,green
2022-04,MGNREGA work demanded by persons,-13.1,red
2022-04,UPI volume,111.4,green
2022-04,PMI Manufacturing,54.7,green
2022-04,Air passengers,86.8,green
2022-04,Exports,29.1,green
2022-04,Unemployment in urban areas,0,neutral
2022-04,Youth unemployment in urban areas,0,neutral
2022-04,Female labour force participation in urban areas,0,neutral
2022-04,Wholesale inflation,15.4,green
2022-04,Imports,26.1,green
2022-04,GST,19.9,green
2022-04,Aggregate deposits,10,green
2022-04,Credit card payments,51.7,green
2022-04,Non-food credit,10.3,green
2022-04,Three-wheeler registrations,45.9,green
2022-04,Tractor sales,33,green
2022-04,Four-wheeler sales,25.7,green
2022-04,PMI Services,57.9,green
2022-04,PMI Composite,57.6,green
2022-04,Natural gas consumption,-12.5,red
2022-04,Two-wheeler sales,38.6,green
2022-04,Electricity demand,14.7,green
2022-04,Petrol consumption,17.2,green
2022-04,Naukri Job Speak Index,38.2,green
2022-04,E-way bill generation,28,green
2022-04,ATF consumption,34.2,green
2022-04,Diesel consumption,7.8,green
2022-04,Rail Freight Traffic,9.4,green
2022-04,Credit and debit card payments,15.7,green
2022-04,Air cargo,11.9,green
2022-04,Consumer Durables production,7.2,green
2022-04,IIP,6.7,green
2022-04,Consumer Non-durables production,-0.8,red
2022-05,MCEP,77.8,green
2022-05,Core sector output,19.3,green
2022-05,Retail inflation,7,green
2022-05,Major Port Cargo Traffic,10.3,green
2022-05,MGNREGA work demanded by persons,11.2,green
2022-05,UPI volume,134.5,green
2022-05,PMI Manufacturing,54.6,green
2022-05,Air passengers,463,green
2022-05,Exports,20.8,green
2022-05,Unemployment in urban areas,0,neutral
2022-05,Youth unemployment in urban areas,0,neutral
2022-05,Female labour force participation in urban areas,0,neutral
2022-05,Wholesale inflation,16.6,green
2022-05,Imports,57.4,green
2022-05,GST,44,green
2022-05,Aggregate deposits,8.8,green
2022-05,Credit card payments,91.9,green
2022-05,Non-food credit,12.6,green
2022-05,Three-wheeler registrations,396.3,green
2022-05,Tractor sales,262.8,green
2022-05,Four-wheeler sales,202.7,green
2022-05,PMI Services,58.9,green
2022-05,PMI Composite,58.3,green
2022-05,Natural gas consumption,10.9,green
2022-05,Two-wheeler sales,197.9,green
2022-05,Electricity demand,24.5,green
2022-05,Petrol consumption,51.5,green
2022-05,Naukri Job Speak Index,39.9,green
2022-05,E-way bill generation,84.1,green
2022-05,ATF consumption,122.6,green
2022-05,Diesel consumption,31.7,green
2022-05,Rail Freight Traffic,14.7,green
2022-05,Credit and debit card payments,45.9,green
2022-05,Air cargo,73.7,green
2022-05,Consumer Durables production,59.1,green
2022-05,IIP,19.7,green
2022-05,Consumer Non-durables production,1.4,neutral
2022-06,MCEP,68.7,green
2022-06,Core sector output,13.1,green
2022-06,Retail inflation,7,green
2022-06,Major Port Cargo Traffic,12.3,green
2022-06,MGNREGA work demanded by persons,-10.2,red
2022-06,UPI volume,108.8,green
2022-06,PMI Manufacturing,53.9,green
2022-06,Air passengers,247.2,green
2022-06,Exports,30.1,green
2022-06,Unemployment in urban areas,0,neutral
2022-06,Youth unemployment in urban areas,0,neutral
2022-06,Female labour force participation in urban areas,0,neutral
2022-06,Wholesale inflation,16.2,green
2022-06,Imports,52.9,green
2022-06,GST,55.8,green
2022-06,Aggregate deposits,8.6,green
2022-06,Credit card payments,56.8,green
2022-06,Non-food credit,13.8,green
2022-06,Three-wheeler registrations,55.8,green
2022-06,Tractor sales,11.1,green
2022-06,Four-wheeler sales,35,green
2022-06,PMI Services,59.2,green
2022-06,PMI Composite,58.2,green
2022-06,Natural gas consumption,-9.4,red
2022-06,Two-wheeler sales,13.3,green
2022-06,Electricity demand,16.7,green
2022-06,Petrol consumption,23.2,green
2022-06,Naukri Job Speak Index,22,green
2022-06,E-way bill generation,36.2,green
2022-06,ATF consumption,128.8,green
2022-06,Diesel consumption,23.9,green
2022-06,Rail Freight Traffic,11.3,green
2022-06,Credit and debit card payments,19.5,green
2022-06,Air cargo,52.6,green
2022-06,Consumer Durables production,25.2,green
2022-06,IIP,12.6,green
2022-06,Consumer Non-durables production,2.9,green
2022-07,MCEP,58.8,green
2022-07,Core sector output,4.8,green
2022-07,Retail inflation,6.7,green
2022-07,Major Port Cargo Traffic,15.2,green
2022-07,MGNREGA work demanded by persons,-39.4,red
2022-07,UPI volume,93.6,green
2022-07,PMI Manufacturing,56.4,green
2022-07,Air passengers,98.2,green
2022-07,Exports,7.9,green
2022-07,Unemployment in urban areas,0,neutral
2022-07,Youth unemployment in urban areas,0,neutral
2022-07,Female labour force participation in urban areas,0,neutral
2022-07,Wholesale inflation,14.1,green
2022-07,Imports,38.2,green
2022-07,GST,28,green
2022-07,Aggregate deposits,9.2,green
2022-07,Credit card payments,37.1,green
2022-07,Non-food credit,13.9,green
2022-07,Three-wheeler registrations,-11,red
2022-07,Tractor sales,-24.9,red
2022-07,Four-wheeler sales,-6.7,red
2022-07,PMI Services,55.5,green
2022-07,PMI Composite,56.6,green
2022-07,Natural gas consumption,-2.3,red
