Base Year,Year,Month,Type,Category,Sub Category,Index,Growth Rate
2011-12,2024,March,Sectoral,Manufacturing,Manufacture of Basic Metals,232.1,8.5
2011-12,2024,March,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",115,20.5
2011-12,2024,March,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",134.7,0.4
2011-12,2024,March,Sectoral,Manufacturing,Manufacture of Electrical Equipment,124.7,14.7
2011-12,2024,March,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,145.4,2.9
2011-12,2024,March,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",130.5,6.6
2011-12,2024,March,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,175.7,26.2
2011-12,2024,March,Sectoral,Manufacturing,Manufacture of Furniture,296.4,40.5
2011-12,2024,March,Sectoral,Manufacturing,Other Manufacturing,90,-17.1
2011-12,2024,March,Sectoral,Manufacturing,,156.2,5.9
2011-12,2024,March,Sectoral,Electricity,,204.2,8.6
2011-12,2024,March,Use-based category,Primary Goods,,163.1,3
2011-12,2024,March,Use-based category,Intermediate Goods,,169.2,6.1
2011-12,2024,March,Use-based category,Infrastructure/ Construction Goods,,195.2,7.4
2011-12,2024,March,Use-based category,Consumer Non-durables,,155.2,5.2
2011-12,2024,March,Use-based category,Consumer Durables,,129.9,9.5
2011-12,2024,March,Use-based category,Capital Goods,,131.6,7
2011-12,2024,February,General,General,,147.1,5.6
2011-12,2024,February,Sectoral,Mining,,139.7,8.1
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Food Products,151.9,3.5
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Beverages,120,14.9
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Tobacco Products,77.3,-0.8
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Textiles,104.1,2.1
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Wearing Apparel,125.6,-2.7
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Leather and Related Products,96.8,2
2011-12,2024,February,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",101.7,6.9
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,79.2,5.5
2011-12,2024,February,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,88.8,5.3
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,131.2,4.1
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,125.4,2.1
2011-12,2024,February,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",205.6,-10.3
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,110.3,11.6
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,147.7,8
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Basic Metals,213.2,9.1
2011-12,2024,February,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",95.7,14.3
2011-12,2024,February,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",125.8,1.6
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Electrical Equipment,111.5,9.7
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,121,4.8
2011-12,2024,February,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",130.4,11.6
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,145.8,24.4
2011-12,2024,February,Sectoral,Manufacturing,Manufacture of Furniture,227.7,31.4
2011-12,2024,February,Sectoral,Manufacturing,Other Manufacturing,76.4,-6.4
2011-12,2024,February,Sectoral,Manufacturing,,144.4,4.9
2011-12,2024,February,Sectoral,Electricity,,187.2,7.6
2011-12,2024,February,Use-based category,Primary Goods,,148.2,5.9
2011-12,2024,February,Use-based category,Intermediate Goods,,157.6,8.6
2011-12,2024,February,Use-based category,Infrastructure/ Construction Goods,,179.5,8.3
2011-12,2024,February,Use-based category,Consumer Non-durables,,149.9,-3.2
2011-12,2024,February,Use-based category,Consumer Durables,,121.9,12.6
2011-12,2024,February,Use-based category,Capital Goods,,106.7,1.7
2011-12,2024,January,General,General,,153.6,4.2
2011-12,2024,January,Sectoral,Mining,,144.3,6
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Food Products,158.9,0.6
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Beverages,112.6,8
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Tobacco Products,84.6,-8.4
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Textiles,109.7,1.7
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Wearing Apparel,117.3,-2.3
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Leather and Related Products,99.9,0.5
2011-12,2024,January,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",96.4,3.4
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,79.1,-6.2
2011-12,2024,January,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,91.3,3.2
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,134.7,-2.1
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,127.6,-2
2011-12,2024,January,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",245.6,0.7
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,112.8,7.1
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,147.5,3
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Basic Metals,226.9,7.6
2011-12,2024,January,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",95.1,16.8
2011-12,2024,January,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",120.8,-7.6
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Electrical Equipment,108.1,2.6
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,116.4,3
2011-12,2024,January,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",140.5,18.9
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,149.5,25.3
2011-12,2024,January,Sectoral,Manufacturing,Manufacture of Furniture,199,15
2011-12,2024,January,Sectoral,Manufacturing,Other Manufacturing,76.6,-6.7
2011-12,2024,January,Sectoral,Manufacturing,,150.8,3.6
2011-12,2024,January,Sectoral,Electricity,,197.1,5.6
2011-12,2024,January,Use-based category,Primary Goods,,154.3,2.9
2011-12,2024,January,Use-based category,Intermediate Goods,,163.8,5.3
2011-12,2024,January,Use-based category,Infrastructure/ Construction Goods,,186.6,5.5
2011-12,2024,January,Use-based category,Consumer Non-durables,,164.9,0.3
2011-12,2024,January,Use-based category,Consumer Durables,,121.4,11.6
2011-12,2024,January,Use-based category,Capital Goods,,108.3,3.2
2011-12,2023,December,General,General,,152.3,4.4
2011-12,2023,December,Sectoral,Mining,,139.5,5.2
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Food Products,160.8,3.4
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Beverages,101.3,3.3
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Tobacco Products,82.7,-8.7
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Textiles,112.3,1.4
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Wearing Apparel,113.1,-10
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Leather and Related Products,95.9,-2.5
2011-12,2023,December,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",97.7,-12.3
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,78.1,-7.6
2011-12,2023,December,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,95.5,-4.5
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,141.9,7.3
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,127.5,-1.5
2011-12,2023,December,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",286.3,3.6
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,106.9,1.4
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,147.1,3
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Basic Metals,220.2,9.1
2011-12,2023,December,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",98.1,6.3
2011-12,2023,December,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",111.6,-5.2
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Electrical Equipment,116.6,6.9
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,115.5,0
2011-12,2023,December,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",118.5,10.3
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,137.2,29.4
2011-12,2023,December,Sectoral,Manufacturing,Manufacture of Furniture,197.4,-0.5
2011-12,2023,December,Sectoral,Manufacturing,Other Manufacturing,70.5,-24.6
2011-12,2023,December,Sectoral,Manufacturing,,151.6,4.6
2011-12,2023,December,Sectoral,Electricity,,181.6,1.2
2011-12,2023,December,Use-based category,Primary Goods,,151.9,4.8
2011-12,2023,December,Use-based category,Intermediate Goods,,159.8,3.7
2011-12,2023,December,Use-based category,Infrastructure/ Construction Goods,,180.3,5.5
2011-12,2023,December,Use-based category,Consumer Non-durables,,179.7,3
2011-12,2023,December,Use-based category,Consumer Durables,,114.5,5.2
2011-12,2023,December,Use-based category,Capital Goods,,103.8,3.7
2011-12,2023,November,General,General,,141.1,2.5
2011-12,2023,November,Sectoral,Mining,,131.3,7
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Food Products,141.5,-3.7
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Beverages,100.7,8.4
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Tobacco Products,79.8,-14.5
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Textiles,102.7,-4.6
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Wearing Apparel,92.9,-20.6
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Leather and Related Products,78.8,-16.4
2011-12,2023,November,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",87.6,-15.7
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,73.3,-5.7
2011-12,2023,November,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,84.1,-6.6
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,132.9,14
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,119.5,-4.1
2011-12,2023,November,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",244.3,-2.5
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,105.1,1.7
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,127,-3.6
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Basic Metals,207.3,7.6
2011-12,2023,November,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",81,-6.1
2011-12,2023,November,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",96.7,-23.9
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Electrical Equipment,89,-17.2
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,109.1,-1.3
2011-12,2023,November,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",126.7,11.2
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,144.5,9.8
2011-12,2023,November,Sectoral,Manufacturing,Manufacture of Furniture,144.5,-30.4
2011-12,2023,November,Sectoral,Manufacturing,Other Manufacturing,65.8,-15.1
2011-12,2023,November,Sectoral,Manufacturing,,139.3,1.3
2011-12,2023,November,Sectoral,Electricity,,176.3,5.8
2011-12,2023,November,Use-based category,Primary Goods,,143.8,8.4
2011-12,2023,November,Use-based category,Intermediate Goods,,151.3,3.4
2011-12,2023,November,Use-based category,Infrastructure/ Construction Goods,,164.2,1.5
2011-12,2023,November,Use-based category,Consumer Non-durables,,157.2,-3.4
2011-12,2023,November,Use-based category,Consumer Durables,,106.5,-4.8
2011-12,2023,November,Use-based category,Capital Goods,,98,-1.1
2011-12,2023,October,General,General,,144.9,11.9
2011-12,2023,October,Sectoral,Mining,,127.4,13.1
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Food Products,123.5,7.1
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Beverages,99.6,10.8
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Tobacco Products,82.7,1.2
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Textiles,110.2,7.7
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Wearing Apparel,97.8,-5.7
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Leather and Related Products,91.1,18.5
2011-12,2023,October,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",93.7,-1.3
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,78.5,-1.3
2011-12,2023,October,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,87,3.3
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,125.7,2.4
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,126.5,3.6
2011-12,2023,October,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",212.8,13.1
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,109,7.6
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,140.5,12.9
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Basic Metals,217.2,13
2011-12,2023,October,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",92.8,19.3
2011-12,2023,October,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",123.1,-7.3
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Electrical Equipment,94.8,12.7
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,123.3,25.6
2011-12,2023,October,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",135.7,24.7
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,157.2,23.3
2011-12,2023,October,Sectoral,Manufacturing,Manufacture of Furniture,176.8,-6.6
2011-12,2023,October,Sectoral,Manufacturing,Other Manufacturing,103.7,30.6
2011-12,2023,October,Sectoral,Manufacturing,,142.1,10.6
2011-12,2023,October,Sectoral,Electricity,,203.8,20.4
2011-12,2023,October,Use-based category,Primary Goods,,146.1,11.4
2011-12,2023,October,Use-based category,Intermediate Goods,,157.5,9.5
2011-12,2023,October,Use-based category,Infrastructure/ Construction Goods,,175.9,12.6
2011-12,2023,October,Use-based category,Consumer Non-durables,,142.4,9.3
2011-12,2023,October,Use-based category,Consumer Durables,,123,15.9
2011-12,2023,October,Use-based category,Capital Goods,,106.1,21.7
2011-12,2023,September,General,General,,142.3,6.4
2011-12,2023,September,Sectoral,Mining,,111.5,11.5
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Food Products,114.6,-0.9
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Beverages,101.6,6.6
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Tobacco Products,89.8,-5.1
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Textiles,108.4,4.3
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Wearing Apparel,102.4,-18.2
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Leather and Related Products,91.8,-0.5
2011-12,2023,September,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",108.1,4.3
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,78.5,-3.8
2011-12,2023,September,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,87.5,-3.7
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,122.4,2.7
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,123.6,-5.8
2011-12,2023,September,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",220.1,7.4
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,106.5,1.4
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,132.8,4.7
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Basic Metals,213.6,15
2011-12,2023,September,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",97.1,10.5
2011-12,2023,September,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",149.4,-8.8
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Electrical Equipment,108,8
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,127,5
2011-12,2023,September,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",130.5,10.9
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,166,7.1
2011-12,2023,September,Sectoral,Manufacturing,Manufacture of Furniture,185.1,-18.4
2011-12,2023,September,Sectoral,Manufacturing,Other Manufacturing,96.7,-13
2011-12,2023,September,Sectoral,Manufacturing,,141.5,5.1
2011-12,2023,September,Sectoral,Electricity,,205.9,9.9
2011-12,2023,September,Use-based category,Primary Goods,,138.8,8
2011-12,2023,September,Use-based category,Intermediate Goods,,154.2,6.1
2011-12,2023,September,Use-based category,Infrastructure/ Construction Goods,,172.8,10.1
2011-12,2023,September,Use-based category,Consumer Non-durables,,142.6,2.7
2011-12,2023,September,Use-based category,Consumer Durables,,125,1
2011-12,2023,September,Use-based category,Capital Goods,,112.6,8.4
2011-12,2023,August,General,General,,145.8,10.9
2011-12,2023,August,Sectoral,Mining,,111.9,12.3
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Food Products,123.9,4.9
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Beverages,103.4,12.6
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Tobacco Products,81.4,7.4
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Textiles,107.1,1.8
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Wearing Apparel,97.8,-17
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Leather and Related Products,92.4,3.2
2011-12,2023,August,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",98.5,-3
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,82.3,-0.5
2011-12,2023,August,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,91,3.2
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,131.7,10.2
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,126.8,-3.9
2011-12,2023,August,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",225.9,17.2
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,108.5,4.5
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,142.5,15
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Basic Metals,217.4,16.9
2011-12,2023,August,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",100,24.2
2011-12,2023,August,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",131.4,-8.8
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Electrical Equipment,108.6,18
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,126.3,12.8
2011-12,2023,August,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",128.6,12.1
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,145.9,8.2
2011-12,2023,August,Sectoral,Manufacturing,Manufacture of Furniture,189.5,-20.6
2011-12,2023,August,Sectoral,Manufacturing,Other Manufacturing,94.6,-4.7
2011-12,2023,August,Sectoral,Manufacturing,,144.4,10
2011-12,2023,August,Sectoral,Electricity,,220.5,15.3
2011-12,2023,August,Use-based category,Primary Goods,,145.4,12.4
2011-12,2023,August,Use-based category,Intermediate Goods,,157.4,7.4
2011-12,2023,August,Use-based category,Infrastructure/ Construction Goods,,176.8,15.7
2011-12,2023,August,Use-based category,Consumer Non-durables,,148.3,9.9
2011-12,2023,August,Use-based category,Consumer Durables,,123.2,6
2011-12,2023,August,Use-based category,Capital Goods,,107.4,13.1
2011-12,2023,July,General,General,,142.7,6.2
2011-12,2023,July,Sectoral,Mining,,111.9,10.7
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Food Products,121.6,7.4
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Beverages,109.4,7.3
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Tobacco Products,71.8,-0.6
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Textiles,108.5,1.2
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Wearing Apparel,103.9,-22.7
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Leather and Related Products,95.1,-4.1
2011-12,2023,July,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",98.4,-11.5
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,82.1,-3.3
2011-12,2023,July,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,89,-7.9
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,131.9,4.4
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,128.6,-6.3
2011-12,2023,July,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",244.5,12.2
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,107.7,1.4
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,134,5.6
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Basic Metals,209.4,14.7
2011-12,2023,July,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",83.8,-3.2
2011-12,2023,July,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",118.6,-16.6
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Electrical Equipment,102.5,3.1
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,119.9,5.5
2011-12,2023,July,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",129.5,8.6
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,123.5,-2.5
2011-12,2023,July,Sectoral,Manufacturing,Manufacture of Furniture,190.6,-10.6
2011-12,2023,July,Sectoral,Manufacturing,Other Manufacturing,97.1,7.3
2011-12,2023,July,Sectoral,Manufacturing,,142.1,5.3
2011-12,2023,July,Sectoral,Electricity,,204,8
2011-12,2023,July,Use-based category,Primary Goods,,141.8,7.7
2011-12,2023,July,Use-based category,Intermediate Goods,,153.8,3.2
2011-12,2023,July,Use-based category,Infrastructure/ Construction Goods,,170.3,12.6
2011-12,2023,July,Use-based category,Consumer Non-durables,,153.5,8.3
2011-12,2023,July,Use-based category,Consumer Durables,,117,-3.6
2011-12,2023,July,Use-based category,Capital Goods,,102.1,5.1
2011-12,2023,June,General,General,,143.9,4
2011-12,2023,June,Sectoral,Mining,,122.3,7.6
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Food Products,113.6,-2.9
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Beverages,125,4.6
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Tobacco Products,93.8,-17
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Textiles,107.8,0
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Wearing Apparel,120.1,-23.5
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Leather and Related Products,103.4,7.8
2011-12,2023,June,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",98,-12.5
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,81.3,-1.6
2011-12,2023,June,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,88.7,-11
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,133.5,3.2
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,130.5,-2.2
2011-12,2023,June,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",225.3,4.1
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,106.5,1.3
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,149.5,4.8
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Basic Metals,203.4,16.1
2011-12,2023,June,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",86.7,-4.8
2011-12,2023,June,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",121.9,-32.5
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Electrical Equipment,103.5,10.7
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,123.7,7.1
2011-12,2023,June,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",123.6,7.3
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,140.6,-0.1
2011-12,2023,June,Sectoral,Manufacturing,Manufacture of Furniture,183,-12.1
2011-12,2023,June,Sectoral,Manufacturing,Other Manufacturing,85.6,-10.6
2011-12,2023,June,Sectoral,Manufacturing,,141.6,3.5
2011-12,2023,June,Sectoral,Electricity,,205.2,4.2
2011-12,2023,June,Use-based category,Primary Goods,,146.7,5.3
2011-12,2023,June,Use-based category,Intermediate Goods,,154.2,5.2
2011-12,2023,June,Use-based category,Infrastructure/ Construction Goods,,170.9,13.3
2011-12,2023,June,Use-based category,Consumer Non-durables,,146.7,0.5
2011-12,2023,June,Use-based category,Consumer Durables,,116.8,-6.8
2011-12,2023,June,Use-based category,Capital Goods,,107.4,2.9
